KomisiDPRD|SKPD|KodeRekening|Program|Pagu|Tambah|Kurang|HasilPembahasan
21|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Perangkat Sains Bidang Teknologi Rekayasa untuk SMK Negeri 34 JAKARTA PUSAT|0|3.000.000.000|0|3.000.000.000
22|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Perangkat Sains Bidang Teknologi Rekayasa untuk SMK Negeri 39 JAKARTA PUSAT|0|3.000.000.000|0|3.000.000.000
23|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Perangkat Sains Bidang Teknologi Rekayasa untuk SMK Negeri 5 JAKARTA TIMUR|0|3.000.000.000|0|3.000.000.000
24|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Perangkat Sains Bidang Teknologi Rekayasa untuk SMK Negeri 52 JAKARTA TIMUR|0|3.000.000.000|0|3.000.000.000
25|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Perangkat Sains Bidang Teknologi Rekayasa untuk SMK Negeri 54 JAKARTA PUSAT|0|3.000.000.000|0|3.000.000.000
26|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan Sains Experiment IPA Berbasis TIK|0|2.500.000.000|0|2.500.000.000
27|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Pengadaan System Pengembangan Model Pelajaran Berbasis Teknologi Informasi dan Komunikasi|0|15.000.000.000|0|15.000.000.000
28|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Penyediaan CCTV Online System SD|0|4.500.000.000|0|4.500.000.000
29|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Penyediaan CCTV Online System SMA/SMK|0|4.000.000.000|0|4.000.000.000
30|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Penyediaan CCTV Online System SMP|0|4.500.000.000|0|4.500.000.000
31|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Penyediaan Ruang Perspektif Kepada Kepala Daerah Berbasis Teknologi Informasi|0|5.000.000.000|0|5.000.000.000
32|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Perlengkapan Smart Learning System SD|0|4.500.000.000|0|4.500.000.000
33|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Perlengkapan Smart Learning System SMP|0|4.500.000.000|0|4.500.000.000
34|E|1.01.001 DINAS PENDIDIKAN|1.01.001 xx xxx|Profesional Development for Teacher melalui Pelatihan Guru ke Luar Negeri|0|25.500.000.000|0|25.500.000.000
35|E|1.01.001 DINAS PENDIDIKAN|1.01 001 01 081|Pengadaan Buku Kurikulum 2013 untuk SMK Povinsi DKI Jakarta|0|0|0|0
36|E|1.01.001 DINAS PENDIDIKAN|1.01 001 01 108||0|0|0|0
37|E|1.01.001 DINAS PENDIDIKAN|1.01 001 01 121|Pembuatan DED Rehabilitasi Total Gedung SDN Batu Ampar 12|275.000.000|0|25.000.000|250.000.000
38|E|1.01.001 DINAS PENDIDIKAN|1.01 001 01 139|Penyelenggaraan Pendidikan Anak Usia Dini|5.638.000.000|0|281.900.000|5.356.100.000
39|E|1.01.001 DINAS PENDIDIKAN|1.01 001 04 001|Pembinaan Penyelenggaraan Pendidikan Inklusi|650.000.000|0|150.000.000|500.000.000
40|E|1.01.001 DINAS PENDIDIKAN|1.01 001 05 001|Biaya Operasional SMA Negeri Muhammad Husni Thamrin Jakarta|0|0|0|0
41|E|1.01.001 DINAS PENDIDIKAN|1.01 001 05 002|Penyelenggaraan Ujian Nasional dan Ujian Sekolah|10.738.734.670|0|0|10.738.734.670
42|E|1.01.001 DINAS PENDIDIKAN|1.01 001 05 003|Pembinaan dan Pengembangan Prestasi Peserta Didik|3.500.000.000|0|504.600.000|2.995.400.000
43|E|1.01.001 DINAS PENDIDIKAN|1.01 001 05 004|Pembinaan Kompetensi Guru|1.000.000.000|0|250.000.000|750.000.000
44|E|1.01.001 DINAS PENDIDIKAN|1.01 001 05 006|Bimtek Penguatan Implementasi Kurikulum 2013 MGMP|1.000.000.000|0|250.000.000|750.000.000
45|E|1.01.001 DINAS PENDIDIKAN|1.01 001 05 007|Penyelenggaraan dan Partisipasi Lomba Pendidikan|500.000.000|0|25.000.000|475.000.000
46|E|1.01.001 DINAS PENDIDIKAN|1.01 001 05 008|Penyelenggaraan dan Partisipasi Olimpiade|500.000.000|0|25.000.000|475.000.000
47|E|1.01.001 DINAS PENDIDIKAN|1.01 001 05 009|Penyelenggaraan dan Partisipasi Event Pendidikan|2.500.000.000|0|500.000.000|2.000.000.000
48|E|1.01.001 DINAS PENDIDIKAN|1.01 001 05 010|Seleksi dan Pemusatan Latihan Olimpiade|3.500.000.000|0|500.000.000|3.000.000.000
49|E|1.01.001 DINAS PENDIDIKAN|1.01 001 05 011|Pengadaan Buku Kurikulum 2013 Peserta Didik dan Guru SMA, SMK Negeri dan Swasta|12.428.890.000|0|1.242.889.000|11.186.001.000
50|E|1.01.001 DINAS PENDIDIKAN|1.01 001 05 012|Pengadaan Buku Kurikukum 2013 Peserta Didik dan Guru SD Negeri/Swasta|0|0|0|0
51|E|1.01.001 DINAS PENDIDIKAN|1.01 001 05 013|Lomba Debat Bahasa Indonesia dan Bahasa Asing Siswa SMK|1.600.000.000|0|160.000.000|1.440.000.000
52|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 001|Penyelesaian Rehabilitasi Total Gedung SDN Rawabadak Selatan 11/12|11.199.002.250|0|559.950.113|10.639.052.138
53|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 002|Penyelesaian Rehabilitasi Total Gedung SDN Cakung Barat 14|6.193.450.000|0|309.672.500|5.883.777.500
54|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 003|Penyelesaian Rehabilitasi Total Gedung SDN Karet Tengsing 13|6.953.972.500|0|347.698.625|6.606.273.875
55|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 004|Penyelesaian Rehabilitasi Total Gedung SDN Balimester 04|5.536.906.500|0|276.845.325|5.260.061.175
56|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 005|Penyelesaian Rehabilitasi Total Gedung SDN Tebet Barat 08|3.924.173.500|0|196.208.675|3.727.964.825
57|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 006|Penyelesaian Rehabilitasi Total Gedung SDN Kalibata 07|4.080.143.300|0|204.007.165|3.876.136.135
58|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 007|Penyelesaian Rehabilitasi Total Gedung SDN Jagakarsa 06|4.142.660.900|0|207.133.045|3.935.527.855
59|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 008|Penyelesaian Rehabilitasi Total Gedung SDN Cilangkap 01|5.869.920.000|0|293.496.000|5.576.424.000
60|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 009|Penyelesaian Rehabilitasi Total Gedung SDN Cijantung 05|12.011.400.000|0|600.570.000|11.410.830.000
61|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 010|Penyelesaian Rehabilitasi Total Gedung SDN Pondok Bambu 14|9.030.135.000|0|451.506.750|8.578.628.250
62|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 011|Penyelesaian Rehabilitasi Total Gedung SDN Pasar Baru 07/09/10|754.000.000|0|37.700.000|716.300.000
63|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 012|Penyelesaian Rehabilitasi Total Gedung SDN Kalisari 01|750.000.000|0|37.500.000|712.500.000
64|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 013|Penyelesaian Rehabilitasi Total Gedung SDN Duri Kepa 01/10|15.005.632.600|0|750.281.630|14.255.350.970
65|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 014|Penyelesaian Rehabilitasi Total Gedung SDN Rawajati 06|9.632.958.550|0|481.647.928|9.151.310.623
66|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 015|Penyelesaian Rehabilitasi Total Gedung SDN Lagoa 07/08|8.591.812.250|0|429.590.613|8.162.221.638
67|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 016|Penyelesaian Rehabilitasi Total Gedung SDN Kramat Jati 27|12.030.733.050|0|601.536.653|11.429.196.398
68|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 017|Penyelesaian rehabilitasi total gedung SDN Baru 02|10.139.495.760|0|506.974.788|9.632.520.972
69|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 018|Penyelesaian rehabilitasi total gedung SDN Petukangan Selatan 04/05|15.442.961.950|0|772.148.098|14.670.813.853
70|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 019|Penyelesaian rehabilitasi total gedung SDN Tegal Alur 06/21|6.500.000.000|0|325.000.000|6.175.000.000
71|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 020|Penyelesaian rehabilitasi total gedung SDN Tegal Alur 07|8.473.288.000|0|423.664.400|8.049.623.600
72|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 021|Penyelesaian rehabilitasi total gedung SDN Sukabumi Utara 07|9.463.110.480|0|473.155.524|8.989.954.956
73|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 022|Penyelesaian rehabilitasi total gedung SDN Balimester 06|9.850.000.000|0|492.500.000|9.357.500.000
74|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 023|Penyelesaian rehabilitasi total gedung SDN Menteng Dalam 07/08|7.750.000.000|0|387.500.000|7.362.500.000
75|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 024|Penyelesaian rehabilitasi total gedung SDN Pejagalan 09/10|8.750.000.000|0|437.500.000|8.312.500.000
76|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 025|Penyelesaian rehabilitasi total gedung SDN Pejagalan 11/12|11.211.255.900|0|560.562.795|10.650.693.105
77|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 026|Penyelesaian rehabilitasi total gedung SDN Petukangan Selatan 03/07|11.135.000.000|0|556.750.000|10.578.250.000
78|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 027|Penyelesaian rehabilitasi total gedung SDN Pondok Kelapa 05|11.135.000.000|0|556.750.000|10.578.250.000
79|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 028|Penyelesaian rehabilitasi total gedung SDN Rawabadak Selatan 07/08|8.850.000.000|0|442.500.000|8.407.500.000
80|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 029|Penyelesaian rehabilitasi total gedung SDN Rawabadak Selatan 09/10|8.825.000.000|0|441.250.000|8.383.750.000
81|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 030|Penyelesaian rehabilitasi total gedung SDN Serdang 07/09/11/12|13.251.350.000|0|662.567.500|12.588.782.500
82|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 031|Penyelesaian rehabilitasi total gedung SDN SDN Sumur Batu 03|7.750.000.000|0|387.500.000|7.362.500.000
83|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 032|Penyelesaian rehabilitasi total gedung SDN Penjaringan 09/10|9.030.125.000|0|451.506.250|8.578.618.750
84|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 033|Penyelesaian rehabilitasi total gedung SDN Petukangan Utara 01/04|9.850.125.000|0|492.506.250|9.357.618.750
85|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 034|Penyelesaian Sarana Penunjang SMKN Terpadu Bambu Apus|23.528.293.000|0|1.176.414.650|22.351.878.350
86|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 035|Penyelesaian Rehabilitasi Total Gedung SMPN 125|14.725.000.000|0|736.250.000|13.988.750.000
87|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 036|Penyelesaian rehabilitasi total gedung SMPN 241|1.600.000.000|0|80.000.000|1.520.000.000
88|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 037|Penyelesaian Rehabilitasi Total Gedung SMPN 252|18.040.000.000|0|902.000.000|17.138.000.000
89|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 038|Penyelesaian Rehabilitasi Total Gedung SMPN 108|16.308.852.457|0|815.442.623|15.493.409.834
90|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 039|Penyelesaian rehabilitasi total gedung SMP 151|15.536.153.000|0|776.807.650|14.759.345.350
91|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 040|Penyelesaian rehabilitasi total gedung SMP 235|1.496.427.950|0|74.821.398|1.421.606.553
92|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 041|Penyelesaian rehabilitasi total gedung SMP 102|16.500.000.000|0|825.000.000|15.675.000.000
93|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 042|Penyelesaian rehabilitasi total gedung SMP 282|16.200.000.000|0|810.000.000|15.390.000.000
94|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 043|Penyelesaian rehabilitasi total gedung SMP 197|13.500.000.000|0|675.000.000|12.825.000.000
95|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 044|Penyelesaian Rehabilitasi Total Gedung SMPN 238|9.413.468.350|0|470.673.418|8.942.794.933
96|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 045|Penyelesaian Rehabilitasi Total Gedung SMPN 164|16.928.910.000|0|846.445.500|16.082.464.500
97|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 047|Penyelesaian Rehabilitasi Total Gedung SMPN 171|3.597.772.150|0|179.888.608|3.417.883.543
98|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 048|Penyelesaian Rehabilitasi Total Gedung SMPN 73|15.201.671.000|0|760.083.550|14.441.587.450
99|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 049|Penyelesaian Rehabilitasi Total Gedung SMPN 112|10.269.450.700|0|513.472.535|9.755.978.165
100|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 050|Penyelesaian Pembangunan RKB SMPN 97|0|0|0|0
101|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 051|Penyelesaian Rehabilitasi total gedung SDN Kapuk 06|0|0|0|0
102|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 052|Penyelesaian Pembangunan Asrama SMK Negeri 61 Kepulauan Seribu|15.142.680.000|0|757.134.000|14.385.546.000
103|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 053|Penyelesaian Pembangunan Sekolah Terpadu Rusun Marunda|10.800.000.000|0|540.000.000|10.260.000.000
104|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 054|Penyelesaian Rehabilitasi Total Gedung SMAN 27|1.040.000.000|0|52.000.000|988.000.000
105|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 055|Penyelesaian Rehabilitasi Total Gedung SMAN 55|18.682.058.200|0|934.102.910|17.747.955.290
106|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 056|Penyelesaian Rehabilitasi Total Gedung SMKN 2|20.247.491.000|0|1.012.374.550|19.235.116.450
107|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 057|Penyelesaian Rehabilitasi Total Gedung SMPN 143|750.000.000|0|37.500.000|712.500.000
108|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 058|Rehabilitasi Total SDN Utan Kayu Utara 08|0|0|0|0
109|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 059|Penyelesaian Rehabilitasi Total Gedung Kantor Puslatdikjur Jakarta Timur|25.000.000.000|0|1.250.000.000|23.750.000.000
110|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 060|Pemeliharaan Sarana dan Prasarana Pendidikan|750.000.000|0|37.500.000|712.500.000
111|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 062|Pembuatan DED Pembangunan SMK Teknologi/Pariwisata Jakarta Timur|450.000.000|0|100.000.000|350.000.000
112|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 063|Pembuatan DED Pembangunan SMK Kesehatan Jakarta Selatan|450.000.000|0|100.000.000|350.000.000
113|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 064|Pembuatan DED Pembangunan SMK Multimedia Jakarta Selatan|450.000.000|0|100.000.000|350.000.000
114|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 065|Pembuatan DED Pembangunan SMK Seni Kriya Jakarta Selatan|450.000.000|0|100.000.000|350.000.000
115|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 066|Pembuatan DED Pembangunan SLBN 3 Jakarta Pusat|275.000.000|0|25.000.000|250.000.000
116|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 067|Pembuatan DED Pembangunan SMK Kesehatan Jakarta Timur|450.000.000|0|100.000.000|350.000.000
117|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 068|Pembuatan DED Pembangunan SLBN Rusun Marunda|275.000.000|0|25.000.000|250.000.000
118|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 069|Pembuatan DED Pembangunan PAUD, TK dan PKBM Jakarta Barat|275.000.000|0|25.000.000|250.000.000
119|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 070|Pembuatan DED Pembangunan PKBM Jakarta Utara|275.000.000|0|25.000.000|250.000.000
120|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 071|Pembuatan DED Rehabilitasi Total Gedung SMAN 37|375.000.000|0|75.000.000|300.000.000
121|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 072|Pembuatan DED Rehabilitasi Total Gedung SMKN 33 (relokasi)|375.000.000|0|75.000.000|300.000.000
122|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 073|Pembuatan DED Rehabilitasi Total Gedung SMK Kesenian (relokasi)|375.000.000|0|75.000.000|300.000.000
123|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 074|Pembuatan DED Rehabilitasi Total Gedung SMPN 219|325.000.000|0|50.000.000|275.000.000
124|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 075|Pembuatan DED Rehabilitasi Total Gedung SMPN 246|325.000.000|0|50.000.000|275.000.000
125|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 076|Pembuatan DED Rehabilitasi Total Gedung SMPN 24|325.000.000|0|50.000.000|275.000.000
126|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 077|Pembuatan DED Rehabilitasi Total Gedung SMPN 32|325.000.000|0|50.000.000|275.000.000
127|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 078|Pembuatan DED Rehabilitasi Total Gedung SMPN 213|325.000.000|0|50.000.000|275.000.000
128|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 079|Pembuatan DED Rehabilitasi Total Gedung SMPN 202|325.000.000|0|50.000.000|275.000.000
129|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 080|Pembuatan DED Rehabilitasi Total Gedung SMPN 192|325.000.000|0|50.000.000|275.000.000
130|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 081|Pembuatan DED Rehabilitasi Total Gedung SMPN 204|325.000.000|0|50.000.000|275.000.000
131|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 082|Pembuatan DED Rehabilitasi Total Gedung SMPN 126|325.000.000|0|50.000.000|275.000.000
132|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 083|Pembuatan DED Rehabilitasi Total Gedung SMPN 49 (BLOK II)|325.000.000|0|50.000.000|275.000.000
133|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 084|Pembuatan DED Rehabilitasi Total Gedung SMPN 62|325.000.000|0|50.000.000|275.000.000
134|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 085|Pembuatan DED Rehabilitasi Total Gedung SMPN 159|325.000.000|0|50.000.000|275.000.000
135|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 086|Pembuatan DED Rehabilitasi Total Gedung SMPN 231|325.000.000|0|50.000.000|275.000.000
136|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 087|Pembuatan DED Rehabilitasi Total Gedung SMPN 31|325.000.000|0|50.000.000|275.000.000
137|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 088|Pembuatan DED Rehabilitasi Total Gedung SMPN 51|325.000.000|0|50.000.000|275.000.000
138|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 089|Pembuatan DED Rehabilitasi Total Gedung SMPN 22|325.000.000|0|50.000.000|275.000.000
139|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 090|Pembuatan DED Rehabilitasi Total Gedung SMPN 268|325.000.000|0|50.000.000|275.000.000
140|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 091|Pembuatan DED Rehabilitasi Total Gedung SDN Rawamangun 07|275.000.000|0|25.000.000|250.000.000
141|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 092|Pembuatan DED Rehabilitasi Total Gedung SMPN 192|325.000.000|0|50.000.000|275.000.000
142|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 093|Pembuatan DED Rehabilitasi Total Gedung SDN Tegal Alur 01/19|275.000.000|0|25.000.000|250.000.000
143|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 094|Pembuatan DED Rehabilitasi Total Gedung SMPN 93|325.000.000|0|50.000.000|275.000.000
144|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 095|Pembuatan DED Rehabilitasi Total Gedung SDN Pinangsia 06|275.000.000|0|25.000.000|250.000.000
145|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 096|Pembuatan DED Rehabilitasi Total Gedung SDN Susukan 08|275.000.000|0|25.000.000|250.000.000
146|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 097|Pembuatan DED Rehabilitasi Total Gedung SDN Kebon Kosong 05|275.000.000|0|25.000.000|250.000.000
147|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 098|Pembuatan DED Rehabilitasi Total Gedung SDN Balekambang 03|275.000.000|0|25.000.000|250.000.000
148|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 099|Pembuatan DED Rehabilitasi Total Gedung SDN Pejaten Barat 05|275.000.000|0|25.000.000|250.000.000
149|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 100|Pembuatan DED Rehabilitasi Total Gedung SDN Cipinang 01|275.000.000|0|25.000.000|250.000.000
150|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 101|Pembuatan DED Rehabilitasi Total Gedung SDN Pegangsaan Dua 07|275.000.000|0|25.000.000|250.000.000
151|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 102|Pembuatan DED Rehabilitasi Total Gedung SDN Cipinang Besar Selatan 18|275.000.000|0|25.000.000|250.000.000
152|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 103|Pembuatan DED Rehabilitasi Total Gedung SDN Sukabumi Selatan 06|275.000.000|0|25.000.000|250.000.000
153|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 104|Pembuatan DED Rehabilitasi Total Gedung SDN Pondok Rangon 03|275.000.000|0|25.000.000|250.000.000
154|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 105|Pembuatan DED Rehabilitasi Total Gedung SDN Duren Sawit 13|275.000.000|0|25.000.000|250.000.000
155|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 106|Pembuatan DED Rehabilitasi Total Gedung SDN Lubang Buaya 13/14|275.000.000|0|25.000.000|250.000.000
156|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 107|Pembuatan DED Rehabilitasi Total Gedung SDN Sukabumi Utara 04|275.000.000|0|25.000.000|250.000.000
157|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 108|Pembuatan DED Rehabilitasi Total Gedung SDN Dukuh 05|275.000.000|0|25.000.000|250.000.000
158|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 109|Pembuatan DED Rehabilitasi Total Gedung SDN Pulogadung 07|275.000.000|0|25.000.000|250.000.000
159|E|1.01.001 DINAS PENDIDIKAN|1.01 001 06 110|Pembuatan DED Rehabilitasi Total Gedung SDN Lubang Buaya 05|275.000.000|0|25.000.000|250.000.000
