UrusanPemerintahan,Organisasi,KodeRekening,Uraian,Jumlah
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 003,Penyelesaian Rehabilitasi Total Gedung SDN Karet Tengsing 13,6.953.969.391
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 004,Penyelesaian Rehabilitasi Total Gedung SDN Balimester 04,5.531.670.541
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 005,Penyelesaian Rehabilitasi Total Gedung SDN Tebet Barat 08,3.924.168.360
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 006,Penyelesaian Rehabilitasi Total Gedung SDN Kalibata 07,4.061.723.247
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 007,Penyelesaian Rehabilitasi Total Gedung SDN Jagakarsa 06,4.142.176.830
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 008,Penyelesaian Rehabilitasi Total Gedung SDN Cilangkap 01,5.821.343.965
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 009,Penyelesaian Rehabilitasi Total Gedung SDN Cijantung 05,12.011.391.271
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 010,Penyelesaian Rehabilitasi Total Gedung SDN Pondok Bambu 14,9.030.134.891
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 011,Penyelesaian Rehabilitasi Total Gedung SDN Pasar Baru 07/09/10,753.999.801
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 012,Penyelesaian Rehabilitasi Total Gedung SDN Kalisari 01,749.907.081
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 013,Penyelesaian Rehabilitasi Total Gedung SDN Duri Kepa 01/10,15.005.627.294
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 014,Penyelesaian Rehabilitasi Total Gedung SDN Rawajati 06,9.632.947.239
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 015,Penyelesaian Rehabilitasi Total Gedung SDN Lagoa 07/08,8.591.805.454
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 016,Penyelesaian Rehabilitasi Total Gedung SDN Kramat Jati 27,12.030.733.020
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 017,Penyelesaian rehabilitasi total gedung SDN Baru 02,10.139.495.657
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 018,Penyelesaian rehabilitasi total gedung SDN Petukangan Selatan 04/05,15.441.894.040
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 019,Penyelesaian rehabilitasi total gedung SDN Tegal Alur 06/21,6.456.083.465
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 020,Penyelesaian rehabilitasi total gedung SDN Tegal Alur 07,8.473.287.376
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 021,Penyelesaian rehabilitasi total gedung SDN Sukabumi Utara 07,9.463.110.433
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 022,Penyelesaian rehabilitasi total gedung SDN Balimester 06,9.849.992.596
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 024,Penyelesaian rehabilitasi total gedung SDN Pejagalan 09/10,8.749.990.824
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 026,Penyelesaian rehabilitasi total gedung SDN Petukangan Selatan 03/07,11.134.988.290
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 027,Penyelesaian rehabilitasi total gedung SDN Pondok Kelapa 05,11.134.999.921
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 028,Penyelesaian rehabilitasi total gedung SDN Rawabadak Selatan 07/08,8.849.995.817
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 029,Penyelesaian rehabilitasi total gedung SDN Rawabadak Selatan 09/10,8.818.126.557
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 030,Penyelesaian rehabilitasi total gedung SDN Serdang 07/09/11/12,13.249.899.936
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 031,Penyelesaian rehabilitasi total gedung SDN SDN Sumur Batu 03,7.749.999.339
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 032,Penyelesaian rehabilitasi total gedung SDN Penjaringan 09/10,9.030.125.000
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 033,Penyelesaian rehabilitasi total gedung SDN Petukangan Utara 01/04,9.850.118.597
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 034,Penyelesaian Sarana Penunjang SMKN Terpadu Bambu Apus,23.528.292.798
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 035,Penyelesaian Rehabilitasi Total Gedung SMPN 125,14.699.131.374
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 036,Penyelesaian rehabilitasi total gedung SMPN 241,1.599.999.998
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 037,Penyelesaian Rehabilitasi Total Gedung SMPN 252,18.035.432.486
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 038,Penyelesaian Rehabilitasi Total Gedung SMPN 108,16.308.852.026
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 039,Penyelesaian rehabilitasi total gedung SMP 151,15.536.148.979
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 040,Penyelesaian rehabilitasi total gedung SMP 235,1.496.418.118
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 041,Penyelesaian rehabilitasi total gedung SMP 102,16.499.987.061
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 042,Penyelesaian rehabilitasi total gedung SMP 282,16.199.998.945
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 043,Penyelesaian rehabilitasi total gedung SMP 197,13.495.551.045
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 044,Penyelesaian Rehabilitasi Total Gedung SMPN 238,9.413.457.424
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 045,Penyelesaian Rehabilitasi Total Gedung SMPN 164,16.928.906.564
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 047,Penyelesaian Rehabilitasi Total Gedung SMPN 171,3.597.770.369
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 048,Penyelesaian Rehabilitasi Total Gedung SMPN 73,15.201.669.133
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 049,Penyelesaian Rehabilitasi Total Gedung SMPN 112,10.269.447.451
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 052,Penyelesaian Pembangunan Asrama SMK Negeri 61 Kepulauan Seribu,15.142.679.885
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 053,Penyelesaian Pembangunan Sekolah Terpadu Rusun Marunda,10.732.099.541
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 054,Penyelesaian Rehabilitasi Total Gedung SMAN 27,1.039.988.230
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 055,Penyelesaian Rehabilitasi Total Gedung SMAN 55,18.682.057.939
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 056,Penyelesaian Rehabilitasi Total Gedung SMKN 2,20.224.671.021
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 057,Penyelesaian Rehabilitasi Total Gedung SMPN 143,749.999.874
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 059,Penyelesaian Rehabilitasi Total Gedung Kantor Puslatdikjur Jakarta Timur,24.822.331.553
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 060,Pemeliharaan Sarana dan Prasarana Pendidikan,749.843.512
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 062,Pembuatan DED Pembangunan SMK Teknologi/Pariwisata Jakarta Timur,449.996.140
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 063,Pembuatan DED Pembangunan SMK Kesehatan Jakarta Selatan,449.996.140
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 064,Pembuatan DED Pembangunan SMK Multimedia Jakarta Selatan,449.996.140
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 065,Pembuatan DED Pembangunan SMK Seni Kriya Jakarta Selatan,449.996.140
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 066,Pembuatan DED Pembangunan SLBN 3 Jakarta Pusat,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 067,Pembuatan DED Pembangunan SMK Kesehatan Jakarta Timur,449.996.140
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 068,Pembuatan DED Pembangunan SLBN Rusun Marunda,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 069,"Pembuatan DED Pembangunan PAUD, TK dan PKBM Jakarta Barat",274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 070,Pembuatan DED Pembangunan PKBM Jakarta Utara,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 071,Pembuatan DED Rehabilitasi Total Gedung SMAN 37,374.999.240
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 072,Pembuatan DED Rehabilitasi Total Gedung SMKN 33 (relokasi),374.999.240
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 073,Pembuatan DED Rehabilitasi Total Gedung SMK Kesenian (relokasi),374.999.240
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 074,Pembuatan DED Rehabilitasi Total Gedung SMPN 219,324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 075,Pembuatan DED Rehabilitasi Total Gedung SMPN 246,324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 076,Pembuatan DED Rehabilitasi Total Gedung SMPN 24,324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 077,Pembuatan DED Rehabilitasi Total Gedung SMPN 32,324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 078,Pembuatan DED Rehabilitasi Total Gedung SMPN 213,324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 079,Pembuatan DED Rehabilitasi Total Gedung SMPN 202,324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 080,Pembuatan DED Rehabilitasi Total Gedung SMPN 192,324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 081,Pembuatan DED Rehabilitasi Total Gedung SMPN 204,324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 082,Pembuatan DED Rehabilitasi Total Gedung SMPN 126,324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 083,Pembuatan DED Rehabilitasi Total Gedung SMPN 49 (BLOK II),324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 084,Pembuatan DED Rehabilitasi Total Gedung SMPN 62,324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 085,Pembuatan DED Rehabilitasi Total Gedung SMPN 159,324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 086,Pembuatan DED Rehabilitasi Total Gedung SMPN 231,324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 087,Pembuatan DED Rehabilitasi Total Gedung SMPN 31,324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 088,Pembuatan DED Rehabilitasi Total Gedung SMPN 51,324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 089,Pembuatan DED Rehabilitasi Total Gedung SMPN 22,324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 090,Pembuatan DED Rehabilitasi Total Gedung SMPN 268,324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 091,Pembuatan DED Rehabilitasi Total Gedung SDN Rawamangun 07,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 092,Pembuatan DED Rehabilitasi Total Gedung SMPN 192,324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 093,Pembuatan DED Rehabilitasi Total Gedung SDN Tegal Alur 01/19,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 094,Pembuatan DED Rehabilitasi Total Gedung SMPN 93,324.999.840
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 095,Pembuatan DED Rehabilitasi Total Gedung SDN Pinangsia 06,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 096,Pembuatan DED Rehabilitasi Total Gedung SDN Susukan 08,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 097,Pembuatan DED Rehabilitasi Total Gedung SDN Kebon Kosong 05,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 098,Pembuatan DED Rehabilitasi Total Gedung SDN Balekambang 03,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 099,Pembuatan DED Rehabilitasi Total Gedung SDN Pejaten Barat 05,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 100,Pembuatan DED Rehabilitasi Total Gedung SDN Cipinang 01,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 101,Pembuatan DED Rehabilitasi Total Gedung SDN Pegangsaan Dua 07,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 102,Pembuatan DED Rehabilitasi Total Gedung SDN Cipinang Besar Selatan 18,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 103,Pembuatan DED Rehabilitasi Total Gedung SDN Sukabumi Selatan 06,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 104,Pembuatan DED Rehabilitasi Total Gedung SDN Pondok Rangon 03,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 105,Pembuatan DED Rehabilitasi Total Gedung SDN Duren Sawit 13,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 106,Pembuatan DED Rehabilitasi Total Gedung SDN Lubang Buaya 13/14,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 107,Pembuatan DED Rehabilitasi Total Gedung SDN Sukabumi Utara 04,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 108,Pembuatan DED Rehabilitasi Total Gedung SDN Dukuh 05,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 109,Pembuatan DED Rehabilitasi Total Gedung SDN Pulogadung 07,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 110,Pembuatan DED Rehabilitasi Total Gedung SDN Lubang Buaya 05,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 111,Pembuatan DED Rehabilitasi Total Gedung SDN Cipayung 04,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 112,Pembuatan DED Rehabilitasi Total Gedung SDN Gedong 12/13,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 113,Pembuatan DED Rehabilitasi Total Gedung SDN Klender 22,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 114,Pembuatan DED Rehabilitasi Total Gedung SDN Bendungan Hilir 05/06/07,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 115,Pembuatan DED Rehabilitasi Total Gedung SDN Ulujami 02/03,274.999.890
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 116,Pembuatan DED Rehabilitasi Total Gedung SDN SMPN 183 (Relokasi),349.998.990
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 117,Penyelesaian Rehabilitasi Total Gedung SDN Kebon Kosong 02/04,3.499.988.767
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 118,Penyelesaian Rehabilitasi Total Gedung SMPN 186,4.974.795.536
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 119,Penyelesaian Rehabilitasi Total Gedung SMPN 263,5.302.738.829
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 06 120,Penyelesaian Rehabilitasi Total Gedung SDN Cakung Barat 05,6.053.943.449
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 07 001,Penyediaan Jasa TALI dan IPAL (12 Bulan),8.899.992.420
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 07 002,Penyediaan Gaji dan Tunjangan Pegawai Tidak Tetap (PTT),626.340.000
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 07 003,Penyediaan Biaya Operasional Dewan Pendidikan,999.999.623
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 07 004,Pendistribusian dan Penghapusan Blanko Ijazah dan SKHUN,536.543.940
1.01 Pendidikan,1.01.001 DINAS PENDIDIKAN,1.01 001 08 001,Penyelenggaraan Operasional Kantor Dinas Pendidikan,13.561.662.063
1.01 Pendidikan,1.01.002 Pusat Pengembangan Manajemen Sekolah,1.01 002 00 000 5,BELANJA DAERAH,10.556.308.652
1.01 Pendidikan,1.01.002 Pusat Pengembangan Manajemen Sekolah,1.01 002 05 001,Pembinaan Kompetensi Guru,3.900.248.900
1.01 Pendidikan,1.01.002 Pusat Pengembangan Manajemen Sekolah,1.01 002 05 002,Pengembangan Wawasan dan Pembinaan Pegawai,2.432.105.950
1.01 Pendidikan,1.01.002 Pusat Pengembangan Manajemen Sekolah,1.01 002 06 001,Pembangunan Ruang Auditorium,742.236.677
1.01 Pendidikan,1.01.002 Pusat Pengembangan Manajemen Sekolah,1.01 002 06 002,Penyediaan dan pemeliharaan Taman Kantor,65.136.800
1.01 Pendidikan,1.01.002 Pusat Pengembangan Manajemen Sekolah,1.01 002 06 003,Pembuatan canopy parkir kantor,99.379.004
1.01 Pendidikan,1.01.002 Pusat Pengembangan Manajemen Sekolah,1.01 002 06 007,Pengadaan Meubelair Pelatihan,189.805.000
1.01 Pendidikan,1.01.002 Pusat Pengembangan Manajemen Sekolah,1.01 002 06 008,Pengadaan peralatan dan perlengkapan ruang auditorium (BARU),491.184.650
1.01 Pendidikan,1.01.002 Pusat Pengembangan Manajemen Sekolah,1.01 002 06 009,Peningkatan sarana pelatihan,191.568.000
1.01 Pendidikan,1.01.002 Pusat Pengembangan Manajemen Sekolah,1.01 002 07 001,Pengendalian Administrasi Kantor,692.007.314
1.01 Pendidikan,1.01.002 Pusat Pengembangan Manajemen Sekolah,1.01 002 08 001,Penyelenggaraan Operasional Kantor Pusat Pelatihan Guru dan Tenaga Kependidikan (PPGTK),1.450.411.005
1.01 Pendidikan,1.01.002 Pusat Pengembangan Manajemen Sekolah,1.01 002 08 002,Penyediaan Jasa TALI dan IPAL (12 Bulan),283.877.352
1.01 Pendidikan,1.01.002 Pusat Pengembangan Manajemen Sekolah,1.01 002 08 003,Pengadaan Printer,18.348.000
1.01 Pendidikan,1.01.003 Planetarium dan Observatorium,1.01 003 00 000 5,BELANJA DAERAH,8.370.846.545
1.01 Pendidikan,1.01.003 Planetarium dan Observatorium,1.01 003 05 001,Pembinaan Kompetensi Guru,442.175.400
1.01 Pendidikan,1.01.003 Planetarium dan Observatorium,1.01 003 05 002,Penyelenggaraan dan Partisipasi Event Pendidikan,700.120.100
1.01 Pendidikan,1.01.003 Planetarium dan Observatorium,1.01 003 06 001,Pemeliharaan Taman Kantor,129.900.584
1.01 Pendidikan,1.01.003 Planetarium dan Observatorium,1.01 003 06 002,Perawatan Hydrant dan Pompa Air,49.723.740
1.01 Pendidikan,1.01.003 Planetarium dan Observatorium,1.01 003 06 003,Pengadaan Umbul-umbul dan Atribut Lain Perayaan Hari Kemerdekaan,19.943.000
1.01 Pendidikan,1.01.003 Planetarium dan Observatorium,1.01 003 06 005,Perawatan Alat Pendukung Instrumen Observasi,7.093.451
1.01 Pendidikan,1.01.003 Planetarium dan Observatorium,1.01 003 06 006,Perawatan Lift,99.399.300
1.01 Pendidikan,1.01.003 Planetarium dan Observatorium,1.01 003 06 007,Perawatan Mobil Teropong,29.965.820
1.01 Pendidikan,1.01.003 Planetarium dan Observatorium,1.01 003 06 008,Pemeliharaan Ruang Exibition Hall dan Fitting Out,183.360.823
1.01 Pendidikan,1.01.003 Planetarium dan Observatorium,1.01 003 06 009,Pemeliharaan Ringan Gedung Kantor,499.944.037
1.01 Pendidikan,1.01.003 Planetarium dan Observatorium,1.01 003 06 010,Pemeliharaan dan Perawatan Peralatan Teknis,649.940.331
1.01 Pendidikan,1.01.003 Planetarium dan Observatorium,1.01 003 06 011,Penataan Peralatan Ruang Bengkel,149.485.690
1.01 Pendidikan,1.01.003 Planetarium dan Observatorium,1.01 003 06 012,Pengadaan Sarana Penunjang Pendidikan,1.434.950.061
1.01 Pendidikan,1.01.003 Planetarium dan Observatorium,1.01 003 07 001,Pengendalian Administrasi UPT. Planetarium dan Observatorium,1.321.991.305
1.01 Pendidikan,1.01.003 Planetarium dan Observatorium,1.01 003 08 001,Penyelenggaraan Operasional Kantor Planetarium dam Observatorium,1.634.999.903
1.01 Pendidikan,1.01.003 Planetarium dan Observatorium,1.01 003 08 002,Penyediaan Jasa TALI dan IPAL (12 Bulan),918.768.000
1.01 Pendidikan,1.01.003 Planetarium dan Observatorium,1.01 003 14 001,Peningkatan Sumber Daya Pegawai Planetarium,99.085.000
1.01 Pendidikan,1.01.004 Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKPUS,1.01 004 00 000 5,BELANJA DAERAH,13.513.780.297
1.01 Pendidikan,1.01.004 Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKPUS,1.01 004 05 001,Pembinaan dan Pengembangan Prestasi Peserta Didik,2.347.337.265
1.01 Pendidikan,1.01.004 Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKPUS,1.01 004 05 002,Pembinaan Kompetensi Guru,3.099.040.702
1.01 Pendidikan,1.01.004 Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKPUS,1.01 004 05 003,Lembaga Sertifikasi Profesi,221.099.840
1.01 Pendidikan,1.01.004 Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKPUS,1.01 004 05 004,Pelimpahan Kewenangan,1.344.240.530
1.01 Pendidikan,1.01.004 Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKPUS,1.01 004 06 001,Pemeliharaan Ruang Gudang dan pantry,199.997.401
1.01 Pendidikan,1.01.004 Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKPUS,1.01 004 06 003,Pemeliharaan WC Aula SKB,99.289.097
1.01 Pendidikan,1.01.004 Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKPUS,1.01 004 06 004,Pemeliharaan Gudang dan Ruang lab Elektronika,148.893.297
1.01 Pendidikan,1.01.004 Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKPUS,1.01 004 06 006,Pemeliharaan ruang bengkel service,198.960.105
1.01 Pendidikan,1.01.004 Pusat Pengembangan Kompetensi Guru dan Kejuruan - JAKPUS,1.01 004 06 007,Pemeliharaan Ruang SKB,197.246.448
